entity1,entity2,measure
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Skin_of_prepuce_of_penis,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Male_Prepuce,0.52
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Set_of_laryngeal_muscles,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Laryngeal_Muscle,0.52
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Zygote,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Zygote,0.61
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Membranous_labyrinth,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Membranous_Labyrinth,0.55
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Left_main_bronchus,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Left_Main_Bronchus,0.65
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Metathalamus,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Geniculate_Body,0.25
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Mediastinal_lymph_node,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Mediastinal_Lymph_Node,0.77
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Messenger_ribonucleic_acid,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Messenger_RNA,0.5
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Semitendinosus,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Semitendinosus,0.63
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Primordial_germ_cell,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Primordial_Germ_Cell,0.58
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Inflow_part_of_right_atrium,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Sinus_Venarum,0.56
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Trunk_of_right_pulmonary_artery,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Right_Pulmonary_Artery,0.58
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Thoracic_part_of_esophagus,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Thoracic_Esophagus,0.56
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Adrenocorticotropin,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Adrenocorticotropic_Hormone,0.5
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Bipolar_neuron,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Bipolar_Neuron,0.7
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Capsule_of_parathyroid_gland,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Parathyroid_Gland_Capsule,0.54
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Interneuron,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Interneuron,0.74
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Ependyma_of_fourth_ventricle,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Fourth_Ventricle_Ependyma,0.51
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Anal_gland,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Anal_Gland,0.63
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Amacrine_cell,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Amacrine_Cell,0.69
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Lymphokine,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Therapeutic_Lymphokine,0.61
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Fibrous_capsule_of_spleen,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Splenic_Capsule,0.55
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Hepatic_perisinusoidal_space,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Perisinusoidal_Space,0.56
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Middle_cardiac_vein,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Middle_Cardiac_Vein,0.64
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Arytenoid_cartilage,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Arytenoid_Cartilage,0.64
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Deltoid,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Deltoid,0.59
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Trans_Golgi_network,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Trans-Golgi_Network,0.6
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Uncus,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Uncus,0.55
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Fibrocartilage,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Fibrocartilage,0.77
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Lymph_node_of_neck,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Cervical_Lymph_Node,0.62
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Circular_fold_of_small_intestine,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Valve_of_Kerckring,0.49
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Midgut,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Midgut,0.56
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Portion_of_connective_tissue,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Connective_Tissue,0.77
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Electrical_synapse,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Electrical_Synapse,0.65
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Metamyelocyte,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Metamyelocyte,0.66
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Somatotroph,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Somatotroph,0.5
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Caudate_lobe_of_liver,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Lobus_Caudatus,0.55
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Tendon,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Tendon,0.51
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Stroma_of_ovarian_cortex,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Stroma_of_the_Ovarian_Cortex,0.53
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Lateral_corticospinal_tract,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Crossed_Pyramidal_Tract,0.31
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Auditory_ossicle,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Auditory_Ossicle,0.67
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Epithelium_of_vagina,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Vaginal_Epithelium,0.66
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Integument,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Skin,0.52
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Neuro_endocrine_system,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Neuroendocrine_System,0.5
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Vein,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Vein,0.66
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Anterior_parietal_artery,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Anterior_Parietal_Artery,0.62
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Thoracic_lymph_node,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Thoracic_Lymph_Node,0.54
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Somatotropin,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Growth_Hormone,0.5
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Right_ovary,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Right_Ovary,0.64
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Nutrient_canal,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Haversian_Canal,0.05
